Header	Order	Mutations
lcl|CP003284.1_cds_AFW94473.1_1657 [locus_tag=ANA_C11712] [protein=glycine/betaine ABC transporter substrate-binding and permease protein] [protein_id=AFW94473.1] [location=1865201..1866727] [gbkey=CDS]	Nostocales	197
lcl|JBALDY010000060.1_cds_MEH2109235.1_4710 [gene=ugpC] [locus_tag=V7K43_23895] [protein=sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC] [protein_id=MEH2109235.1] [location=38626..39729] [gbkey=CDS]	Nostocales	722
lcl|JACJQC010000009.1_cds_MBD2172038.1_5676 [gene=fhuB] [locus_tag=H6F81_12425] [protein=Fe(3+)-hydroxamate ABC transporter permease FhuB] [protein_id=MBD2172038.1] [location=complement(32185..34125)] [gbkey=CDS]	Nostocales	994
lcl|JACJQC010000004.1_cds_MBD2171141.1_4213 [locus_tag=H6F81_07760] [protein=peptide ABC transporter substrate-binding protein] [protein_id=MBD2171141.1] [location=complement(252668..254434)] [gbkey=CDS]	Nostocales	902
lcl|AP018166.1_cds_BAY02185.1_1411 [locus_tag=NIES19_14260] [protein=putative ABC transporter permease] [protein_id=BAY02185.1] [location=1705996..1707126] [gbkey=CDS]	Nostocales	708
lcl|JACJQC010000001.1_cds_MBD2169916.1_284 [locus_tag=H6F81_01425] [protein=ABC transporter permease] [protein_id=MBD2169916.1] [location=complement(375381..376268)] [gbkey=CDS]	Nostocales	561
lcl|JACJQC010000001.1_cds_MBD2169859.1_227 [gene=modB] [locus_tag=H6F81_01140] [protein=molybdate ABC transporter permease subunit] [protein_id=MBD2169859.1] [location=complement(304531..306336)] [gbkey=CDS]	Nostocales	896
lcl|AP018166.1_cds_BAY02100.1_1326 [locus_tag=NIES19_13390] [protein=phosphate ABC transporter periplasmic phosphate-binding protein] [protein_id=BAY02100.1] [location=complement(1578655..1579833)] [gbkey=CDS]	Nostocales	766
lcl|CP003659.1_cds_AFZ57180.1_1565 [locus_tag=Anacy_1680] [db_xref=InterPro:IPR000825] [protein=Iron-regulated ABC transporter membrane component SufB] [protein_id=AFZ57180.1] [location=1943095..1944534] [gbkey=CDS]	Nostocales	880
lcl|AP018166.1_cds_BAY05849.1_5075 [locus_tag=NIES19_51260] [protein=putative ABC transporter membrane protein] [protein_id=BAY05849.1] [location=complement(5844416..5845855)] [gbkey=CDS]	Nostocales	880
lcl|JACJQC010000004.1_cds_MBD2170961.1_4029 [locus_tag=H6F81_06840] [protein=energy-coupling factor ABC transporter permease] [protein_id=MBD2170961.1] [location=complement(36427..37347)] [gbkey=CDS]	Nostocales	576
