Header	Order	Mutations
lcl|CP003614.1_cds_AFZ10330.1_5682 [locus_tag=Osc7112_6144] [db_xref=InterPro:IPR004636,InterPro:IPR005814,InterPro:IPR015421,InterPro:IPR015422,InterPro:IPR015424] [protein=acetylornithine aminotransferase apoenzyme] [protein_id=AFZ10330.1] [location=complement(7349005..7350276)] [gbkey=CDS]	Oscillatoriales	43
lcl|SRRZ01000155.1_cds_NQE37833.1_1567 [gene=glmS] [locus_tag=E5S67_05614] [protein=Glutamine--fructose-6-phosphate aminotransferase [isomerizing]] [protein_id=NQE37833.1] [location=8005..9927] [gbkey=CDS]	Oscillatoriales	800
lcl|CP003614.1_cds_AFZ06685.1_2037 [locus_tag=Osc7112_2228] [db_xref=InterPro:IPR000583,InterPro:IPR001347,InterPro:IPR005855,InterPro:IPR017932] [protein=Glucosamine--fructose-6-phosphate aminotransferase (isomerizing)] [protein_id=AFZ06685.1] [location=2590315..2592237] [gbkey=CDS]	Oscillatoriales	793
lcl|NZ_JAZAQF010000059.1_cds_WP_393012943.1_1926 [locus_tag=VPK24_RS10560] [protein=pyridoxal-phosphate-dependent aminotransferase family protein] [protein_id=WP_393012943.1] [location=194158..195330] [gbkey=CDS]	Oscillatoriales	643
lcl|LJZR01000020.1_cds_KPQ34423.1_258 [gene=argD] [locus_tag=HLUCCA11_15075] [protein=bifunctional acetylornithine / N-succinyldiaminopimelate aminotransferase ArgD] [protein_id=KPQ34423.1] [location=79103..80290] [gbkey=CDS]	Oscillatoriales	677
lcl|LJZR01000024.1_cds_KPQ33986.1_859 [gene=glmS] [locus_tag=HLUCCA11_16310] [protein=glucosamine--fructose-6-phosphate aminotransferase (isomerizing) GlmS] [protein_id=KPQ33986.1] [location=5795..7696] [gbkey=CDS]	Oscillatoriales	774
lcl|JAZAQF010000059.1_cds_MFG3817918.1_1775 [locus_tag=VPK24_09750] [protein=pyridoxal phosphate-dependent aminotransferase family protein] [protein_id=MFG3817918.1] [location=complement(28158..29438)] [gbkey=CDS]	Oscillatoriales	689
lcl|NZ_LXYR01000036.1_cds_WP_068818482.1_3544 [locus_tag=A8707_RS17430] [protein=aminotransferase class III-fold pyridoxal phosphate-dependent enzyme] [protein_id=WP_068818482.1] [location=complement(207..401)] [gbkey=CDS]	Oscillatoriales	130
lcl|PVWG01000015.1_cds_PSB18670.1_760 [locus_tag=C7B65_14175] [protein=PLP-dependent aminotransferase family protein] [protein_id=PSB18670.1] [location=complement(19753..21210)] [gbkey=CDS]	Oscillatoriales	746
lcl|SRRZ01000032.1_cds_NQE34465.1_3541 [gene=avtA] [locus_tag=E5S67_02191] [protein=Valine--pyruvate aminotransferase] [protein_id=NQE34465.1] [location=complement(17445..18722)] [gbkey=CDS]	Oscillatoriales	694
lcl|CP003614.1_cds_AFZ07932.1_3284 [locus_tag=Osc7112_3568] [db_xref=InterPro:IPR004839,InterPro:IPR015421,InterPro:IPR015422,InterPro:IPR015424] [protein=valine-pyruvate aminotransferase apoenzyme] [protein_id=AFZ07932.1] [location=4199467..4200735] [gbkey=CDS]	Oscillatoriales	695
lcl|QBMP01000012.1_cds_PZO60305.1_477 [locus_tag=DCF15_02480] [protein=alanine--glyoxylate aminotransferase] [protein_id=PZO60305.1] [location=complement(26442..27611)] [gbkey=CDS]	Oscillatoriales	609
lcl|LJZR01000007.1_cds_KPQ36336.1_4501 [gene=bioA] [locus_tag=HLUCCA11_07310] [protein=adenosylmethionine-8-amino-7-oxononanoate aminotransferase BioA] [protein_id=KPQ36336.1] [location=179550..180833] [gbkey=CDS]	Oscillatoriales	690
lcl|LJZR01000020.1_cds_KPQ34368.1_203 [locus_tag=HLUCCA11_14795] [protein=GntR family transcriptional regulator / MocR family aminotransferase] [protein_id=KPQ34368.1] [location=complement(10644..12278)] [gbkey=CDS]	Oscillatoriales	738
lcl|QBMP01000098.1_cds_PZO55361.1_4540 [locus_tag=DCF15_10720] [protein=aminotransferase] [protein_id=PZO55361.1] [location=9369..10517] [gbkey=CDS]	Oscillatoriales	630
lcl|QBMP01000002.1_cds_PZO61281.1_2445 [locus_tag=DCF15_00440] [protein=succinyldiaminopimelate aminotransferase] [protein_id=PZO61281.1] [location=31492..32706] [gbkey=CDS]	Oscillatoriales	640
lcl|LJZR01000001.1_cds_KPQ37501.1_2151 [gene=avtA] [locus_tag=HLUCCA11_00200] [protein=valine--pyruvate aminotransferase AvtA] [protein_id=KPQ37501.1] [location=36764..38080] [gbkey=CDS]	Oscillatoriales	683
lcl|LJZR01000038.1_cds_KPQ33110.1_1957 [gene=argD-2] [locus_tag=HLUCCA11_19525] [protein=acetylornithine aminotransferase ArgD] [protein_id=KPQ33110.1] [location=11544..12869] [gbkey=CDS]	Oscillatoriales	642
lcl|LJZR01000001.1_cds_KPQ37681.1_2331 [gene=aspB] [locus_tag=HLUCCA11_01110] [protein=aspartate aminotransferase AspB] [protein_id=KPQ37681.1] [location=complement(261904..263070)] [gbkey=CDS]	Oscillatoriales	669
lcl|LJZR01000005.1_cds_KPQ36583.1_2902 [locus_tag=HLUCCA11_05305] [protein=Glutamate-1-semialdehyde aminotransferase] [protein_id=KPQ36583.1] [location=101757..103211] [gbkey=CDS]	Oscillatoriales	732
lcl|PVWG01000010.1_cds_PSB19413.1_32 [locus_tag=C7B65_10840] [protein=aminotransferase class I/II] [protein_id=PSB19413.1] [location=complement(5522..6799)] [gbkey=CDS]	Oscillatoriales	673
lcl|SRRZ01000051.1_cds_NQE35294.1_4559 [gene=alaC] [locus_tag=E5S67_03024] [protein=Glutamate-pyruvate aminotransferase AlaC] [protein_id=NQE35294.1] [location=31211..32416] [gbkey=CDS]	Oscillatoriales	651
lcl|LJZR01000007.1_cds_KPQ36267.1_4432 [gene=pdxF] [locus_tag=HLUCCA11_06965] [protein=phosphoserine aminotransferase PdxF] [protein_id=KPQ36267.1] [location=99454..100581] [gbkey=CDS]	Oscillatoriales	626
lcl|SRRZ01000287.1_cds_NQE38633.1_3246 [gene=arnB] [locus_tag=E5S67_06418] [protein=UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase] [protein_id=NQE38633.1] [location=complement(606..1685)] [gbkey=CDS]	Oscillatoriales	615
lcl|CP003614.1_cds_AFZ06652.1_2004 [locus_tag=Osc7112_2188] [db_xref=InterPro:IPR004839,InterPro:IPR015421,InterPro:IPR015422,InterPro:IPR015424] [protein=LL-diaminopimelate aminotransferase apoenzyme] [protein_id=AFZ06652.1] [location=complement(2551202..2552386)] [gbkey=CDS]	Oscillatoriales	662
lcl|CP003614.1_cds_AFZ05187.1_539 [locus_tag=Osc7112_0594] [db_xref=InterPro:IPR001917,InterPro:IPR004839,InterPro:IPR005861,InterPro:IPR015421,InterPro:IPR015422,InterPro:IPR015424] [protein=histidinol phosphate aminotransferase apoenzyme] [protein_id=AFZ05187.1] [location=complement(683250..684296)] [gbkey=CDS]	Oscillatoriales	589
