Header	Order	Mutations
lcl|AP024565.1_cds_BCU10009.1_573 [locus_tag=MAN88_05730] [protein=class V aminotransferase] [protein_id=BCU10009.1] [location=566504..567658] [gbkey=CDS]	Chroococcales	572
lcl|AP024565.1_cds_BCU10819.1_1383 [gene=argD] [locus_tag=MAN88_13830] [protein=acetylornithine aminotransferase] [protein_id=BCU10819.1] [location=complement(1468682..1469965)] [gbkey=CDS]	Chroococcales	659
lcl|AP024565.1_cds_BCU12054.1_2618 [gene=glmS] [locus_tag=MAN88_26180] [protein=glutamine--fructose-6-phosphate aminotransferase [isomerizing]] [protein_id=BCU12054.1] [location=complement(2706255..2708156)] [gbkey=CDS]	Chroococcales	748
lcl|BLJI01000004.1_cds_GFE68744.1_1354 [locus_tag=CFPU101_13540] [protein=L,L-diaminopimelate aminotransferase] [protein_id=GFE68744.1] [location=183882..185135] [gbkey=CDS]	Chroococcales	357
lcl|NC_011729.1_cds_WP_015956400.1_4432 [locus_tag=PCC7424_RS21875] [protein=acetyl ornithine aminotransferase family protein] [protein_id=WP_015956400.1] [location=4937456..4938781] [gbkey=CDS]	Chroococcales	688
lcl|AP024565.1_cds_BCU11529.1_2093 [locus_tag=MAN88_20930] [protein=succinyldiaminopimelate aminotransferase] [protein_id=BCU11529.1] [location=2162059..2163276] [gbkey=CDS]	Chroococcales	673
lcl|NC_011729.1_cds_WP_015957025.1_5063 [locus_tag=PCC7424_RS25050] [protein=alanine--glyoxylate aminotransferase family protein] [protein_id=WP_015957025.1] [location=5658003..5659148] [gbkey=CDS]	Chroococcales	579
lcl|CP002198.1_cds_ADN13947.1_1893 [locus_tag=Cyan7822_1964] [db_xref=InterPro:IPR004839,InterPro:IPR015421,InterPro:IPR015422,InterPro:IPR015424,InterPro:IPR019942] [protein=LL-diaminopimelate aminotransferase] [protein_id=ADN13947.1] [location=2171413..2172648] [gbkey=CDS]	Chroococcales	404
lcl|AP009552.1_cds_BAG00913.1_1090 [locus_tag=MAE_10910] [protein=DegT/DnrJ/EryC1/StrS aminotransferase family enzyme] [protein_id=BAG00913.1] [location=937255..938601] [gbkey=CDS]	Chroococcales	669
lcl|NZ_BLJI01000002.1_cds_WP_206814059.1_831 [locus_tag=CFPU101_RS04155] [protein=DegT/DnrJ/EryC1/StrS aminotransferase family protein] [protein_id=WP_206814059.1] [location=complement(324582..325739)] [gbkey=CDS]	Chroococcales	566
lcl|CP001291.1_cds_ACK73504.1_5030 [locus_tag=PCC7424_5154] [db_xref=InterPro:IPR004636,InterPro:IPR005814] [protein=acetylornithine and succinylornithine aminotransferase] [protein_id=ACK73504.1] [location=5722240..5723520] [gbkey=CDS]	Chroococcales	653
lcl|NC_011729.1_cds_WP_015957084.1_5122 [locus_tag=PCC7424_RS25345] [protein=aspartate aminotransferase family protein] [protein_id=WP_015957084.1] [location=5722240..5723520] [gbkey=CDS]	Chroococcales	653
lcl|CP001291.1_cds_ACK70749.1_2275 [locus_tag=PCC7424_2328] [db_xref=InterPro:IPR000583,InterPro:IPR001347,InterPro:IPR005855] [protein=glucosamine/fructose-6-phosphate aminotransferase, isomerizing] [protein_id=ACK70749.1] [location=complement(2596169..2598064)] [gbkey=CDS]	Chroococcales	742
lcl|BLJI01000012.1_cds_GFE69972.1_2582 [gene=argD] [locus_tag=CFPU101_25820] [protein=N-acetylornithine aminotransferase] [protein_id=GFE69972.1] [location=complement(128119..129393)] [gbkey=CDS]	Chroococcales	653
lcl|BLJI01000002.1_cds_GFE68030.1_640 [locus_tag=CFPU101_06400] [protein=putative aminotransferase] [protein_id=GFE68030.1] [location=complement(138450..139640)] [gbkey=CDS]	Chroococcales	606
AF183408.1:13710-24173 Microcystis aeruginosa PCC 7806 DNA polymerase III beta subunit (dnaN) gene, partial cds; microcystin synthetase gene cluster, complete sequence; Uma1 (uma1), Uma2 (uma2), Uma3 (uma3), Uma4 (uma4), and Uma5 (uma5) genes, complete cds; and Uma6 (uma6) gene, partial cds	Chroococcales	868
lcl|CP001291.1_cds_ACK72137.1_3663 [locus_tag=PCC7424_3756] [db_xref=InterPro:IPR001544,InterPro:IPR002345] [protein=aminotransferase class IV] [protein_id=ACK72137.1] [location=complement(4171806..4172603)] [gbkey=CDS]	Chroococcales	253
lcl|NC_011729.1_cds_WP_015954979.1_2971 [locus_tag=PCC7424_RS14675] [protein=aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme] [protein_id=WP_015954979.1] [location=3322818..3324083] [gbkey=CDS]	Chroococcales	655
lcl|NC_011729.1_cds_WP_015955776.1_3781 [locus_tag=PCC7424_RS18725] [protein=pyridoxal-phosphate-dependent aminotransferase family protein] [protein_id=WP_015955776.1] [location=4229470..4230624] [gbkey=CDS]	Chroococcales	595
