Header	Order	Mutations
lcl|NZ_CM001775.1_cds_WP_017292849.1_487 [locus_tag=SYN6308_RS02465] [protein=CmpA/NrtA family ABC transporter substrate-binding protein] [protein_id=WP_017292849.1] [location=502553..503914] [gbkey=CDS]	Oscillatoriales	835
lcl|NZ_CM001775.1_cds_WP_017292892.1_531 [locus_tag=SYN6308_RS02690] [protein=energy-coupling factor ABC transporter permease] [protein_id=WP_017292892.1] [location=complement(546270..547031)] [gbkey=CDS]	Oscillatoriales	476
lcl|NZ_CM001775.1_cds_WP_017294098.1_1738 [gene=urtA] [locus_tag=SYN6308_RS08940] [protein=urea ABC transporter substrate-binding protein] [protein_id=WP_017294098.1] [location=1775375..1776676] [gbkey=CDS]	Oscillatoriales	789
lcl|NZ_CM001775.1_cds_WP_017292964.1_611 [locus_tag=SYN6308_RS03075] [protein=metal ABC transporter solute-binding protein, Zn/Mn family] [protein_id=WP_017292964.1] [location=625888..626877] [gbkey=CDS]	Oscillatoriales	618
lcl|JACJQY010000013.1_cds_MBD2317272.1_723 [locus_tag=H6G05_10505] [protein=carbohydrate ABC transporter substrate-binding protein] [protein_id=MBD2317272.1] [location=94512..95921] [gbkey=CDS]	Oscillatoriales	876
lcl|LR882963.1_cds_CAD5950519.1_2548 [locus_tag=PANO66_02586] [protein=Putative branched-chain amino acid ABC transporter, permease protein] [protein_id=CAD5950519.1] [location=complement(2883797..2884975)] [gbkey=CDS]	Oscillatoriales	666
lcl|NZ_CP097329.1_cds_WP_286396053.1_1819 [locus_tag=M4D78_RS09190] [protein=putative 2-aminoethylphosphonate ABC transporter substrate-binding protein] [protein_id=WP_286396053.1] [location=1897275..1898414] [gbkey=CDS]	Oscillatoriales	753
lcl|NZ_SRRZ01000001.1_cds_WP_172184453.1_123 [locus_tag=E5S67_RS00615] [protein=sugar ABC transporter ATP-binding protein] [protein_id=WP_172184453.1] [location=136073..137617] [gbkey=CDS]	Oscillatoriales	887
lcl|NZ_CM001775.1_cds_WP_017296465.1_4104 [locus_tag=SYN6308_RS21135] [protein=sulfate ABC transporter substrate-binding protein] [protein_id=WP_017296465.1] [location=4236464..4237525] [gbkey=CDS]	Oscillatoriales	666
lcl|CP003614.1_cds_AFZ05490.1_842 [locus_tag=Osc7112_0921] [db_xref=InterPro:IPR019195] [protein=ABC transporter, ATPase] [protein_id=AFZ05490.1] [location=1064829..1066715] [gbkey=CDS]	Oscillatoriales	992
lcl|NZ_CM001775.1_cds_WP_017294624.1_2254 [locus_tag=SYN6308_RS11675] [protein=Fe(3+) ABC transporter substrate-binding protein] [protein_id=WP_017294624.1] [location=complement(2347978..2349042)] [gbkey=CDS]	Oscillatoriales	635
lcl|LR882963.1_cds_CAD5957195.1_2982 [gene=yhdX] [locus_tag=PANO66_03025] [protein=Putative amino-acid ABC transporter permease protein YhdX] [protein_id=CAD5957195.1] [location=3332733..3333893] [gbkey=CDS]	Oscillatoriales	731
lcl|CP003614.1_cds_AFZ04878.1_230 [locus_tag=Osc7112_0249] [db_xref=InterPro:IPR006059] [protein=sulfate ABC transporter, periplasmic sulfate-binding protein] [protein_id=AFZ04878.1] [location=complement(281520..282665)] [gbkey=CDS]	Oscillatoriales	707
lcl|CP003614.1_cds_AFZ07408.1_2760 [locus_tag=Osc7112_3012] [db_xref=InterPro:IPR000515] [protein=phosphate ABC transporter membrane protein 2, PhoT family] [protein_id=AFZ07408.1] [location=complement(3531073..3532053)] [gbkey=CDS]	Oscillatoriales	638
lcl|NZ_CM001775.1_cds_WP_017293967.1_1608 [gene=pstC] [locus_tag=SYN6308_RS08260] [protein=phosphate ABC transporter permease subunit PstC] [protein_id=WP_017293967.1] [location=complement(1643441..1644400)] [gbkey=CDS]	Oscillatoriales	589
lcl|LR882963.1_cds_CAD5912670.1_150 [locus_tag=PANO66_00156] [protein=Permease protein of ABC transporter] [protein_id=CAD5912670.1] [location=complement(192248..193024)] [gbkey=CDS]	Oscillatoriales	512
lcl|NZ_CM001775.1_cds_WP_017293454.1_1097 [locus_tag=SYN6308_RS05590] [protein=branched-chain amino acid ABC transporter permease] [protein_id=WP_017293454.1] [location=complement(1118623..1119477)] [gbkey=CDS]	Oscillatoriales	555
lcl|NZ_CM001775.1_cds_WP_017293965.1_1606 [gene=pstB] [locus_tag=SYN6308_RS08250] [protein=phosphate ABC transporter ATP-binding protein PstB] [protein_id=WP_017293965.1] [location=complement(1641564..1642376)] [gbkey=CDS]	Oscillatoriales	510
lcl|CP003614.1_cds_AFZ07471.1_2823 [locus_tag=Osc7112_3077] [db_xref=InterPro:IPR006059] [protein=carbohydrate ABC transporter substrate-binding protein, CUT1 family] [protein_id=AFZ07471.1] [location=complement(3606190..3607473)] [gbkey=CDS]	Oscillatoriales	799
lcl|NZ_CM001775.1_cds_WP_017292982.1_628 [locus_tag=SYN6308_RS03160] [protein=MlaE family lipid ABC transporter permease subunit] [protein_id=WP_017292982.1] [location=complement(649413..650177)] [gbkey=CDS]	Oscillatoriales	464
lcl|SRRZ01000012.1_cds_NQE33262.1_735 [gene=yojI] [locus_tag=E5S67_00980] [protein=ABC transporter ATP-binding/permease protein YojI] [protein_id=NQE33262.1] [location=complement(45263..46873)] [gbkey=CDS]	Oscillatoriales	918
lcl|NZ_SRRZ01000012.1_cds_WP_172185947.1_747 [locus_tag=E5S67_RS04900] [protein=cyclic peptide export ABC transporter] [protein_id=WP_172185947.1] [location=complement(45263..46873)] [gbkey=CDS]	Oscillatoriales	918
lcl|NZ_CM001775.1_cds_WP_017296469.1_4108 [locus_tag=SYN6308_RS21155] [protein=sulfate/molybdate ABC transporter ATP-binding protein] [protein_id=WP_017296469.1] [location=4239782..4240798] [gbkey=CDS]	Oscillatoriales	617
lcl|SRRZ01000146.1_cds_NQE37690.1_1360 [locus_tag=E5S67_05465] [protein=putative ABC transporter-binding protein] [protein_id=NQE37690.1] [location=869..2629] [gbkey=CDS]	Oscillatoriales	879
lcl|LR882963.1_cds_CAD5939253.1_1843 [locus_tag=PANO66_01868] [protein=putative ABC transporter permease protein slr1045] [protein_id=CAD5939253.1] [location=2092567..2093307] [gbkey=CDS]	Oscillatoriales	509
lcl|QBMP01000158.1_cds_PZO51944.1_865 [locus_tag=DCF15_14350] [protein=lactose ABC transporter permease] [protein_id=PZO51944.1] [location=2005..2946] [gbkey=CDS]	Oscillatoriales	621
