Header	Order	Mutations
lcl|NC_011729.1_cds_WP_041237979.1_712 [locus_tag=PCC7424_RS03500] [protein=amino acid ABC transporter substrate-binding protein] [protein_id=WP_041237979.1] [location=787921..788988] [gbkey=CDS]	Chroococcales	697
lcl|AP024565.1_cds_BCU13818.1_4382 [locus_tag=MAN88_43820] [protein=taurine ABC transporter permease] [protein_id=BCU13818.1] [location=complement(4500787..4501620)] [gbkey=CDS]	Chroococcales	549
lcl|QQWD01000022.1_cds_REJ49318.1_2134 [locus_tag=DWQ51_17425] [protein=branched-chain amino acid ABC transporter substrate-binding protein] [protein_id=REJ49318.1] [location=6403..8016] [gbkey=CDS]	Chroococcales	927
lcl|AP024565.1_cds_BCU10790.1_1354 [locus_tag=MAN88_13540] [protein=cobalt ABC transporter ATP-binding protein] [protein_id=BCU10790.1] [location=1439542..1441281] [gbkey=CDS]	Chroococcales	943
lcl|CP002198.1_cds_ADN15857.1_3803 [locus_tag=Cyan7822_3927] [db_xref=InterPro:IPR017909] [protein=ABC transporter substrate binding protein (nitrate)] [protein_id=ADN15857.1] [location=4335065..4336390] [gbkey=CDS]	Chroococcales	848
lcl|QQWD01000002.1_cds_REJ57034.1_1741 [locus_tag=DWQ51_02520] [protein=iron ABC transporter substrate-binding protein] [protein_id=REJ57034.1] [location=complement(61296..62351)] [gbkey=CDS]	Chroococcales	712
lcl|BLJI01000030.1_cds_GFE71277.1_3887 [locus_tag=CFPU101_38870] [protein=Mn(2+)/Zn(2+) family ABC transporter periplasmic binding protein] [protein_id=GFE71277.1] [location=19942..20937] [gbkey=CDS]	Chroococcales	624
lcl|JACJSW010000035.1_cds_MBD2620580.1_3934 [locus_tag=H6G48_02275] [protein=iron ABC transporter permease] [protein_id=MBD2620580.1] [location=335..1972] [gbkey=CDS]	Chroococcales	937
lcl|AP024565.1_cds_BCU09474.1_38 [locus_tag=MAN88_00380] [protein=iron(III) ABC transporter permease] [protein_id=BCU09474.1] [location=complement(41523..43208)] [gbkey=CDS]	Chroococcales	956
lcl|BLJI01000009.1_cds_GFE69551.1_2161 [gene=devB] [locus_tag=CFPU101_21610] [protein=glycolipid ABC transporter membrane protein] [protein_id=GFE69551.1] [location=136432..137742] [gbkey=CDS]	Chroococcales	786
lcl|NZ_JACJSW010000090.1_cds_WP_190720406.1_4942 [locus_tag=H6G48_RS06870] [protein=dipeptide ABC transporter ATP-binding protein] [protein_id=WP_190720406.1] [location=31485..33110] [gbkey=CDS]	Chroococcales	962
lcl|NC_011729.1_cds_WP_420809926.1_338 [locus_tag=PCC7424_RS01645] [protein=peptide ABC transporter substrate-binding protein] [protein_id=WP_420809926.1] [location=complement(369693..371375)] [gbkey=CDS]	Chroococcales	930
lcl|QQWD01000013.1_cds_REJ51478.1_934 [locus_tag=DWQ51_12675] [protein=nitrate ABC transporter substrate-binding protein] [protein_id=REJ51478.1] [location=complement(37410..38732)] [gbkey=CDS]	Chroococcales	849
lcl|NC_011729.1_cds_WP_012597744.1_327 [locus_tag=PCC7424_RS01590] [protein=polysaccharide ABC transporter ATP-binding protein] [protein_id=WP_012597744.1] [location=356546..357838] [gbkey=CDS]	Chroococcales	810
lcl|CP097576.1_cds_M8120_07360_1461 [locus_tag=M8120_07360] [protein=ABC transporter transmembrane domain-containing protein] [pseudo=true] [location=complement(1484540..1485881)] [gbkey=CDS]	Chroococcales	810
lcl|NC_011729.1_cds_WP_015954082.1_2030 [locus_tag=PCC7424_RS10015] [protein=PstS family phosphate ABC transporter substrate-binding protein] [protein_id=WP_015954082.1] [location=complement(2303899..2305149)] [gbkey=CDS]	Chroococcales	746
lcl|CP001291.1_cds_ACK73244.1_4770 [locus_tag=PCC7424_4887] [db_xref=InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR009248,InterPro:IPR010509,InterPro:IPR017871,InterPro:IPR017940] [protein=ABC transporter domain protein] [protein_id=ACK73244.1] [location=complement(5426248..5428017)] [gbkey=CDS]	Chroococcales	933
lcl|NC_011729.1_cds_WP_049858571.1_4861 [locus_tag=PCC7424_RS24025] [protein=ABC transporter ATP-binding protein/permease] [protein_id=WP_049858571.1] [location=complement(5426248..5427963)] [gbkey=CDS]	Chroococcales	913
lcl|BLJI01000002.1_cds_GFE67911.1_521 [locus_tag=CFPU101_05210] [protein=ABC transporter, ATP-binding protein] [protein_id=GFE67911.1] [location=complement(23552..25096)] [gbkey=CDS]	Chroococcales	919
lcl|BLJI01000019.1_cds_GFE70557.1_3167 [locus_tag=CFPU101_31670] [protein=ABC transporter family protein] [protein_id=GFE70557.1] [location=complement(32654..34330)] [gbkey=CDS]	Chroococcales	927
lcl|NC_011729.1_cds_WP_012597518.1_101 [gene=lptC] [locus_tag=PCC7424_RS00485] [protein=LPS export ABC transporter periplasmic protein LptC] [protein_id=WP_012597518.1] [location=111530..112717] [gbkey=CDS]	Chroococcales	786
lcl|BLJI01000018.1_cds_GFE70496.1_3106 [locus_tag=CFPU101_31060] [protein=phosphate ABC transporter periplasmic phosphate-binding protein] [protein_id=GFE70496.1] [location=complement(57446..58468)] [gbkey=CDS]	Chroococcales	642
lcl|NC_011729.1_cds_WP_041238132.1_1952 [locus_tag=PCC7424_RS09635] [protein=CmpA/NrtA family ABC transporter substrate-binding protein] [protein_id=WP_041238132.1] [location=2212773..2214095] [gbkey=CDS]	Chroococcales	794
lcl|NC_011729.1_cds_WP_012598195.1_783 [locus_tag=PCC7424_RS03865] [protein=Fe(3+) ABC transporter substrate-binding protein] [protein_id=WP_012598195.1] [location=886906..887952] [gbkey=CDS]	Chroococcales	686
lcl|NC_011729.1_cds_WP_012598508.1_1103 [locus_tag=PCC7424_RS05430] [protein=branched-chain amino acid ABC transporter permease] [protein_id=WP_012598508.1] [location=complement(1213849..1214721)] [gbkey=CDS]	Chroococcales	556
lcl|QQWD01000017.1_cds_REJ50707.1_1411 [locus_tag=DWQ51_15090] [protein=ABC transporter] [protein_id=REJ50707.1] [location=51535..53061] [gbkey=CDS]	Chroococcales	800
lcl|CP001291.1_cds_ACK71213.1_2739 [locus_tag=PCC7424_2806] [db_xref=InterPro:IPR000515,InterPro:IPR005672] [protein=phosphate ABC transporter, inner membrane subunit PstA] [protein_id=ACK71213.1] [location=3119781..3120677] [gbkey=CDS]	Chroococcales	592
lcl|NC_011729.1_cds_WP_015954813.1_2795 [gene=pstA] [locus_tag=PCC7424_RS13805] [protein=phosphate ABC transporter permease PstA] [protein_id=WP_015954813.1] [location=3119781..3120677] [gbkey=CDS]	Chroococcales	592
lcl|NC_011729.1_cds_WP_012598617.1_1218 [locus_tag=PCC7424_RS06005] [protein=glycine betaine ABC transporter substrate-binding protein] [protein_id=WP_012598617.1] [location=complement(1341935..1343473)] [gbkey=CDS]	Chroococcales	851
lcl|CP002198.1_cds_ADN12590.1_536 [locus_tag=Cyan7822_0551] [db_xref=InterPro:IPR019195] [protein=ABC transporter, ATPase, predicted] [protein_id=ADN12590.1] [location=609448..611151] [gbkey=CDS]	Chroococcales	915
lcl|BLJI01000018.1_cds_GFE70494.1_3104 [gene=pstA2] [locus_tag=CFPU101_31040] [protein=phosphate ABC transporter permease protein] [protein_id=GFE70494.1] [location=complement(55524..56447)] [gbkey=CDS]	Chroococcales	575
lcl|NC_011729.1_cds_WP_015956526.1_4560 [gene=hepA] [locus_tag=PCC7424_RS22520] [protein=heterocyst formation ABC transporter subunit HepA] [protein_id=WP_015956526.1] [location=5065391..5067232] [gbkey=CDS]	Chroococcales	896
lcl|BLJI01000001.1_cds_GFE67421.1_31 [locus_tag=CFPU101_00310] [protein=ATP-binding protein of ABC transporter] [protein_id=GFE67421.1] [location=complement(31049..32668)] [gbkey=CDS]	Chroococcales	836
lcl|AP024565.1_cds_BCU10932.1_1496 [gene=cmpD_1] [locus_tag=MAN88_14960] [protein=bacitracin ABC transporter ATP-binding protein] [protein_id=BCU10932.1] [location=complement(1569034..1569873)] [gbkey=CDS]	Chroococcales	544
lcl|CP001291.1_cds_ACK69004.1_530 [locus_tag=PCC7424_0541] [db_xref=InterPro:IPR002048,InterPro:IPR005673,InterPro:IPR006059] [protein=phosphate ABC transporter, periplasmic phosphate-binding protein] [protein_id=ACK69004.1] [location=complement(595778..596914)] [gbkey=CDS]	Chroococcales	707
lcl|NC_011729.1_cds_WP_012597951.1_538 [gene=pstS] [locus_tag=PCC7424_RS02630] [protein=phosphate ABC transporter substrate-binding protein PstS] [protein_id=WP_012597951.1] [location=complement(595778..596914)] [gbkey=CDS]	Chroococcales	707
lcl|NC_011738.1_cds_WP_012599713.1_5445 [locus_tag=PCC7424_RS26940] [protein=FecCD family ABC transporter permease] [protein_id=WP_012599713.1] [location=complement(133895..134956)] [gbkey=CDS]	Chroococcales	706
lcl|BLJI01000035.1_cds_GFE71503.1_4113 [locus_tag=CFPU101_41130] [protein=putative molybdate ABC transporter, permease protein] [protein_id=GFE71503.1] [location=20420..22273] [gbkey=CDS]	Chroococcales	932
lcl|NZ_BLJI01000002.1_cds_WP_206813788.1_524 [locus_tag=CFPU101_RS02615] [protein=BMP family ABC transporter substrate-binding protein] [protein_id=WP_206813788.1] [location=complement(21612..22808)] [gbkey=CDS]	Chroococcales	778
lcl|JACJPS010000116.1_cds_MBD2117068.1_272 [locus_tag=H6F40_09640] [protein=ABC transporter substrate-binding protein/permease] [protein_id=MBD2117068.1] [location=3185..4615] [gbkey=CDS]	Chroococcales	864
lcl|BLJI01000001.1_cds_GFE67540.1_150 [locus_tag=CFPU101_01500] [protein=phosphate ABC transporter inner membrane subunit PstA] [protein_id=GFE67540.1] [location=213707..214597] [gbkey=CDS]	Chroococcales	590
lcl|JACJSW010000201.1_cds_MBD2623954.1_2688 [locus_tag=H6G48_20730] [protein=phosphate ABC transporter permease] [protein_id=MBD2623954.1] [location=complement(29022..29729)] [gbkey=CDS]	Chroococcales	489
lcl|NC_011729.1_cds_WP_015956811.1_4846 [locus_tag=PCC7424_RS23950] [protein=daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein] [protein_id=WP_015956811.1] [location=5408486..5409505] [gbkey=CDS]	Chroococcales	678
lcl|JACJPS010000076.1_cds_MBD2116668.1_4015 [locus_tag=H6F40_07485] [protein=phosphate ABC transporter, permease protein PstA] [protein_id=MBD2116668.1] [location=12669..>12839] [gbkey=CDS]	Chroococcales	108
lcl|BLJI01000010.1_cds_GFE69692.1_2302 [locus_tag=CFPU101_23020] [protein=cobalt ABC transporter inner membrane protein CbiQ] [protein_id=GFE69692.1] [location=131638..132411] [gbkey=CDS]	Chroococcales	493
lcl|AP009552.1_cds_BAG03686.1_3861 [gene=mcyH] [locus_tag=MAE_38640] [protein=McyH protein] [protein_id=BAG03686.1] [location=3537206..3538963] [gbkey=CDS]	Chroococcales	842
